tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt1833885,Twenty8k,2012,['Thriller'],"['nm4411661', 'nm0080282', 'nm1815278', 'nm4410234', 'nm2523072']",106,4.8,English,United Kingdom,663,,,"A teenage boy is gunned down outside a nightclub and a young girl dies in a hit and run in two seemingly unrelated deaths. Deeva Jani, returns home to clear her brother Vipon of the shooting and soon discovers a much deeper conspi..."
tt19849514,Toxic,2022,['Drama'],"['nm4354338', 'nm5357038', 'nm11432345', 'nm2040088', 'nm1087167']",108,6.5,English,United States,662,,3.4,"The damage caused by the humidifier disinfectant disaster reveals the truth of the mysterious deaths of victims without perpetrators, and informs the world of the pain of the victims and their bereaved families, which is still ong..."
tt0064777,"Tora-san, Our Lovable Tramp",1969,"['Comedy', 'Drama', 'Romance']","['nm0040910', 'nm0753479', 'nm0793766', 'nm0605449', 'nm0535332']",91,6.9,Japanese,Japan,661,,,"Tora-San, an itinerant peddler who is thrown out of his father's house twenty years before but reconnects with his aunt, uncle and sister Sakura. Tora wreaks some havoc in their lives, like getting drunk and silly at a marriage me..."
tt0076832,Tomorrow Never Comes,1978,"['Crime', 'Drama']","['nm0001657', 'nm0000994', 'nm0409869', 'nm0565569', 'nm0000587']",109,5.1,English,Canada United Kingdom,661,2.34,,"Coming back from an extended business trip, Frank discovers that his girlfriend Janie is now working at a new resort hotel where the owner has given her a permanent place to stay, as well as other gifts, in exchange for her affect..."
tt0094632,Transformations,1988,"['Horror', 'Sci-Fi']","['nm0809688', 'nm0001495', 'nm0623762', 'nm1072446', 'nm0824934']",84,3.9,Japanese,Japan,661,235600.0,49.0,"Wolfgang is traveling in outer space when a monster, which he sees as a beautiful woman, appears in his spaceship and makes love with him. Then the ship is forced to land on a planet which is a penal colony. Here he meets Miranda ..."
tt22815732,Tokyo Cowboy,2023,['Drama'],"['nm0033152', 'nm4007188', 'nm0475165', 'nm2230681', 'nm7236229']",118,7.0,English,Japan United States,660,,0.27,A Japanese businessman goes on an unwitting journey of self-discovery when he takes a company trip from Tokyo to a Montana cattle ranch.
tt0098482,To Die For,1988,"['Horror', 'Romance', 'Thriller']","['nm0400484', 'nm0415016', 'nm0335562', 'nm0427977', 'nm0094047']",94,4.7,English,United States,660,20.0,57.0,"L.A. real estate agent Kate Wooten gets a new lease on life when she learns that her new client, a mysterious and handsome man named Vlad, is looking for a house isolated in the Hollywood Hills where he wants to live and doesn't w..."
tt0047595,Tonight's the Night,1954,['Comedy'],"['nm0000057', 'nm0280178', 'nm0170552', 'nm0559920', 'nm0882048']",88,6.2,English,United Kingdom,659,,0.26,"In the Irish village of Rathbarney, the aged squire is killed while hunting. His successor, O'Leary arrives in Rathbarney to take over his dead great uncle's estate."
tt1442583,Tum Milo Toh Sahi,2010,"['Comedy', 'Drama']","['nm0007113', 'nm0792911', 'nm2635648', 'nm0046894', 'nm0386358']",128,5.7,Hindi,India,658,,0.0,An astute but old-fashioned law clerk steps up to help the owner of a cafe in a legal battle that has both business and personal ramifications.
tt15741196,Tomb of the River,2021,"['Action', 'Crime']","['nm1030267', 'nm0948588', 'nm7996229', 'nm3333611', 'nm10711076']",119,5.8,Korean,South Korea,657,,2.68,"Gil-seok runs Gangneung's largest underground gang. Min-seok who is a gang boss from Seoul, who was aiming for the ownership of the largest resort in Gangneung, appears before him. Two men who values peace and loyality and lives i..."
tt0098525,True Blood,1989,"['Action', 'Drama']","['nm0001194', 'nm0005165', 'nm0866055', 'nm0286010', 'nm0236711']",100,5.1,English,United States,653,,,"Ray Trueblood, member of a street gang, is framed by an enemy of a rival gang, Billy ""Spider"" Masters. Ray is accused of killing a cop and he has to escape leaving behind his little brother, Donny. Ten years later Ray returns to h..."
tt0055916,Trial and Error,1962,"['Comedy', 'Drama', 'Thriller']","['nm0000634', 'nm0000277', 'nm0517084', 'nm0678693', 'nm0420601']",76,6.2,English,United Kingdom,652,,,An incompetent barrister is assigned to defend an accused wife murderer.
tt0473910,Try Me,2006,"['Comedy', 'Romance']","['nm0553237', 'nm0007069', 'nm0580101', 'nm1345644', 'nm0948636']",90,6.0,English Spanish Arabic Japanese Japanese Sign Language Berber languages,Mexico United States France,650,25.0,135.3,"When Yves-Marie, 9, asks Jacqueline, who is her age: ""Marry me"", she replies with a pirouette: ""The day you go to the stars, I give you my hand."""
tt1042570,Tu£sday,2008,"['Action', 'Crime', 'Mystery']","['nm0322562', 'nm0799591', 'nm0910180', 'nm0813066', 'nm0573618']",79,5.1,English,United Kingdom,648,0.15,,What happens when 3 groups of people decide to rob the same bank on the same day?
